genre,title,author,description,isbn13,weeks,rating,target
Combined Print & E-Book Fiction,go tell the bees that i am gone,Diana Gabaldon,ninth book outlander series revolutionary war moves closer fraser’s ridge claire jamie reunite daughter family,9781101885680,1,,go tell the bees that i am gone Diana Gabaldon ninth book outlander series revolutionary war moves closer fraser’s ridge claire jamie reunite daughter family
Combined Print & E-Book Fiction,the becoming,Nora Roberts,second book dragon heart legacy series breen returns talamh grandfather odran plots destruction,9781250272713,1,,the becoming Nora Roberts second book dragon heart legacy series breen returns talamh grandfather odran plots destruction
Combined Print & E-Book Fiction,fear no evil,James Patterson,29th book alex cross series cross fights mastermind stalked years,9780316499163,1,,fear no evil James Patterson 29th book alex cross series cross fights mastermind stalked years
Combined Print & E-Book Fiction,the judge's list,John Grisham,second book whistler series investigator lacy stoltz goes serial killer closes sitting judge,9780385546027,6,,the judge's list John Grisham second book whistler series investigator lacy stoltz goes serial killer closes sitting judge
Combined Print & E-Book Fiction,the wish,Nicholas Sparks,maggie dawes renowned travel photographer struggles medical diagnosis christmas,9781538728628,9,,the wish Nicholas Sparks maggie dawes renowned travel photographer struggles medical diagnosis christmas
Combined Print & E-Book Fiction,flying angels,Danielle Steel,six women join medical air evacuation transport squadron world war ii,9781984821553,1,,flying angels Danielle Steel six women join medical air evacuation transport squadron world war ii
Combined Print & E-Book Fiction,it ends with us,Colleen Hoover,battered wife raised violent home attempts halt cycle abuse,9781501110368,24,,it ends with us Colleen Hoover battered wife raised violent home attempts halt cycle abuse
Combined Print & E-Book Fiction,the stranger in the lifeboat,Mitch Albom,ship explodes 10 people struggling survive pull man claims lord sea,9780062888341,4,,the stranger in the lifeboat Mitch Albom ship explodes 10 people struggling survive pull man claims lord sea
Combined Print & E-Book Fiction,mercy,David Baldacci,fourth book atlee pine series atlee discovers twin sister survived abduction age 6,9781538719725,2,,mercy David Baldacci fourth book atlee pine series atlee discovers twin sister survived abduction age 6
Combined Print & E-Book Fiction,the lincoln highway,Amor Towles,two friends escaped juvenile work farm take emmett watson unexpected journey new york city 1954,9780735222359,8,,the lincoln highway Amor Towles two friends escaped juvenile work farm take emmett watson unexpected journey new york city 1954
