title,author,description,target,isbn13
a time for mercy,John Grisham,third book jake brigance series 16yearold accused killing deputy clanton miss 1990,a time for mercy third book jake brigance series 16yearold accused killing deputy clanton miss 1990,9780385545969
the return,Nicholas Sparks,doctor serving navy afghanistan goes back north carolina two women change life,the return doctor serving navy afghanistan goes back north carolina two women change life,9781538728574
the searcher,Tana French,divorce former chicago police officer resettles irish village boy goes missing,the searcher divorce former chicago police officer resettles irish village boy goes missing,9780735224650
the evening and the morning,Ken Follett,prequel “the pillars earth” boatbuilder norman noblewoman monk live england attack welsh vikings,the evening and the morning prequel “the pillars earth” boatbuilder norman noblewoman monk live england attack welsh vikings,9780525954989
the invisible life of addie larue,VE Schwab,faustian bargain comes curse affects adventure addie larue across centuries,the invisible life of addie larue faustian bargain comes curse affects adventure addie larue across centuries,9780765387561
the book of two ways,Jodi Picoult,surviving plane crash death doula travels egypt reconnect old flame archaeologist,the book of two ways surviving plane crash death doula travels egypt reconnect old flame archaeologist,9781984818355
leave the world behind,Rumaan Alam,family vacation isolated part long island thrown confusion home’s owners return claiming new york city blackout,leave the world behind family vacation isolated part long island thrown confusion home’s owners return claiming new york city blackout,9780062667632
troubles in paradise,Elin Hilderbrand,final installment trilogy includes “winter paradise” “what happens paradise”,troubles in paradise final installment trilogy includes “winter paradise” “what happens paradise”,9780316435581
the vanishing half,Brit Bennett,lives twin sisters run away southern black community age 16 diverge one returns takes different racial identity fates intertwine,the vanishing half lives twin sisters run away southern black community age 16 diverge one returns takes different racial identity fates intertwine,9780525536291
jingle all the way,Debbie Macomber,december cruise amazon fosters potential change priorities careerfocused realestate executive,jingle all the way december cruise amazon fosters potential change priorities careerfocused realestate executive,9781984818751
where the crawdads sing,Delia Owens,quiet town north carolina coast 1969 young woman survived alone marsh becomes murder suspect,where the crawdads sing quiet town north carolina coast 1969 young woman survived alone marsh becomes murder suspect,9780735219090
invisible girl,Lisa Jewell,exschoolteacher accused sexual misconduct lives near family led child psychologist whose former patient goes missing,invisible girl exschoolteacher accused sexual misconduct lives near family led child psychologist whose former patient goes missing,9781982137335
the coast-to-coast murders,James Patterson and JD Barker,detective fbi agent baffled crosscountry killing spree,the coast-to-coast murders detective fbi agent baffled crosscountry killing spree,9780316457422
